,Gene1,Gene2,ReversalRatio,ImportanceScore
0,CAPN1,ASCL2,0.8952380952380953,0.9482758620689655
1,VASH1,ASCL2,0.861904761904762,0.9310344827586207
2,FAIM2,ACRBP,0.8595238095238096,0.9310344827586207
3,TACC2,ARG2,0.8595238095238096,0.9310344827586207
4,ADM,TMEM37,0.8595238095238096,0.9310344827586207
5,KAT2A,ASCL2,0.8642857142857143,0.9310344827586207
6,ALDOB,GLIS3,0.8261904761904763,0.9137931034482759
7,PIAS1,ARG2,0.8214285714285714,0.9137931034482759
8,FAIM2,PXN-AS1,0.8238095238095238,0.9137931034482759
9,PRIMA1,MAP3K9-DT,0.8238095238095238,0.9137931034482759
10,UBE2E3,ARG2,0.8214285714285714,0.9137931034482759
11,KCNAB2,GNG7,0.8261904761904763,0.9137931034482759
12,DIS3L2,ASCL2,0.8285714285714286,0.9137931034482759
13,LINC00310,GABRA2,0.8285714285714286,0.9137931034482759
14,ELFN1,ARL9,0.8261904761904763,0.9137931034482759
15,ELFN1,TIGD3,0.7904761904761904,0.896551724137931
16,ALDOB,EPB41L1,0.7904761904761904,0.896551724137931
17,ALDOB,BTN2A1,0.7904761904761904,0.896551724137931
18,FAIM2,B9D2,0.7904761904761904,0.896551724137931
19,PACS2,ASCL2,0.7904761904761904,0.896551724137931
20,PRIMA1,SAXO5,0.7904761904761904,0.896551724137931
21,FRAS1,TMEM37,0.7904761904761904,0.896551724137931
22,PAK4,ASCL2,0.7904761904761904,0.896551724137931
23,ALDOB,PIGA,0.7904761904761904,0.896551724137931
24,PRIMA1,KATNAL2,0.7904761904761904,0.896551724137931
25,DECR2,ASCL2,0.7904761904761904,0.896551724137931
26,COPS7A,ARG2,0.7904761904761906,0.896551724137931
27,ELFN1,CCDC150,0.7904761904761904,0.896551724137931
28,IPMK,TMEM37,0.7928571428571429,0.896551724137931
29,CCT8L2,GABRA2,0.7904761904761906,0.896551724137931
30,FIZ1,ASCL2,0.7904761904761906,0.896551724137931
31,LCAL1,GABRA2,0.7904761904761906,0.896551724137931
32,ALDOB,CZIB,0.7928571428571429,0.896551724137931
33,ELFN1,NRG1,0.7928571428571429,0.896551724137931
34,LINC01482,GABRA2,0.7928571428571429,0.896551724137931
35,ADAMTS17,TAFA4,0.7880952380952381,0.896551724137931
36,LPAR2,ACRBP,0.7928571428571429,0.896551724137931
37,ELFN1,NKAIN1,0.7928571428571429,0.896551724137931
38,FAIM2,TWNK,0.7928571428571429,0.896551724137931
39,MED13L,ARG2,0.7928571428571429,0.896551724137931
40,TRMT61B,TMEM37,0.7928571428571429,0.896551724137931
41,PRIMA1,TSPOAP1-AS1,0.7880952380952381,0.896551724137931
42,GALNT7,CLTRN,0.7880952380952381,0.896551724137931
43,MYO1B,ARG2,0.7880952380952381,0.896551724137931
44,FAIM2,URM1,0.7880952380952381,0.896551724137931
45,PRIMA1,DCDC2B,0.7857142857142857,0.896551724137931
46,PRIMA1,AKAP3,0.7857142857142857,0.896551724137931
47,SCN3A,ARG2,0.7857142857142857,0.896551724137931
48,PRIMA1,LINC00240,0.7857142857142857,0.896551724137931
49,PRIMA1,TAFA4,0.7857142857142857,0.896551724137931
50,CSNK1G2,ASCL2,0.7880952380952381,0.896551724137931
51,FASTK,ASCL2,0.7880952380952381,0.896551724137931
52,ELFN1,TRDMT1,0.7880952380952381,0.896551724137931
53,ELFN1,C1QTNF4,0.7880952380952381,0.896551724137931
54,ELFN1,XAGE1B,0.7880952380952381,0.896551724137931
55,ELFN1,XAGE1A,0.7880952380952381,0.896551724137931
56,PRIMA1,SGCD,0.7880952380952381,0.896551724137931
57,ALDOB,CHL1,0.7880952380952381,0.896551724137931
58,PRICKLE2,ARG2,0.7880952380952381,0.896551724137931
59,ELFN1,TSGA10IP,0.7880952380952381,0.896551724137931
60,CD40LG,GABRA2,0.7880952380952381,0.896551724137931
61,ESCO1,ARG2,0.7880952380952381,0.896551724137931
62,TMEM150A,ASCL2,0.7880952380952381,0.896551724137931
63,CAMTA2,ASCL2,0.7880952380952381,0.896551724137931
64,FAIM2,EPHB2,0.7928571428571429,0.896551724137931
65,PRIMA1,HCN4,0.7880952380952381,0.896551724137931
66,RAB3D,CLTRN,0.7880952380952381,0.896551724137931
